,width,SRR999253,SRR999254,SRR999255
10258;FBtr0091510,2200,1,1,1
10259;FBtr0087025,2200,4,6,7
1026;FBtr0344437,2200,38,41,51
10260;FBtr0087024,2200,5,6,7
10261;FBtr0087027,2200,20,18,28
10262;FBtr0087026,2200,20,18,28
10263;FBtr0087028,2200,20,18,28
10264;FBtr0087029,2200,20,18,28
10265;FBtr0087030,2200,5,3,5
10266;FBtr0087031,2200,5,3,5
10267;FBtr0087032,2200,321,308,321
10268;FBti0062615-RA,2200,0,0,0
10269;FBtr0340525,2200,1,3,1
1027;FBtr0344438,2200,70,77,80
10270;FBtr0340078,2200,1,0,0
10271;FBtr0340079,2200,1,0,0
10272;FBtr0087033,2200,4,4,6
10273;FBtr0308764,2200,4,4,6
10274;FBtr0345377,2200,5,4,5
10275;FBtr0345376,2200,4,5,5
10276;FBtr0112765,2200,2,3,2
10277;FBtr0112766,2200,2,4,11
10278;FBtr0310102,2200,7,10,7
10279;FBtr0310103,2200,55,80,55
1028;FBtr0344439,2200,70,77,80
10280;FBtr0304404,2200,63,81,56
10281;FBtr0472709,2200,63,80,55
10282;FBtr0304405,2200,60,77,55
10283;FBtr0340526,2200,0,2,1
10284;FBtr0340527,2200,0,2,0
10285;FBtr0087036,2200,3,0,6
10286;FBtr0100440,2200,30,28,23
10287;FBtr0100436,2200,30,28,23
10288;FBtr0100438,2200,30,28,23
10289;FBtr0332946,2200,30,28,23
1029;FBtr0079196,2200,147,145,141
10290;FBtr0100437,2200,45,39,31
10291;FBtr0309761,2200,76,82,78
10292;FBtr0332947,2200,365,321,329
10293;FBtr0345627,2200,365,321,329
10294;FBtr0087042,2200,698,607,594
10295;FBtr0087043,2200,364,346,274
10296;FBtr0087044,2200,596,523,463
10297;FBtr0087045,2200,461,362,368
10298;FBtr0340070,2200,14,10,12
10299;FBtr0087047,2200,138,127,129
103;FBtr0078055,2200,237,215,240
1030;FBtr0333406,2200,147,145,141
10300;FBtr0331960,2200,31,36,43
10301;FBtr0087048,2200,57,73,61
10302;FBtr0112819,2200,57,73,61
10303;FBtr0305070,2200,57,73,61
10304;FBtr0087049,2200,68,88,77
10305;FBtr0331961,2200,115,103,124
10306;FBtr0331962,2200,119,96,114
10307;FBtr0305069,2200,125,99,100
10308;FBtr0087050,2200,535,452,441
10309;FBtr0112384,2200,50,51,43
1031;FBti0019127-RA,2200,109,106,110
10310;FBtr0340071,2200,69,65,62
10311;FBtr0339071,2200,19,22,28
10312;FBtr0339072,2200,19,22,28
10313;FBtr0339073,2200,19,22,28
10314;FBtr0087054,2200,48,50,52
10315;FBtr0340075,2200,0,0,0
10316;FBtr0087055,2200,0,0,0
10317;FBtr0340076,2200,0,0,0
10318;FBtr0340072,2200,191,212,211
10319;FBtr0087056,2200,191,212,211
1032;FBtr0079198,2200,162,160,123
10320;FBtr0087057,2200,187,136,143
10321;FBtr0086966,2200,104,83,102
10322;FBtr0306574,2200,104,83,102
10323;FBtr0086967,2200,261,214,220
10324;FBtr0086968,2200,261,214,220
10325;FBti0062618-RA,2200,83,66,74
10326;FBtr0086969,2200,140,125,124
10327;FBtr0086970,2200,140,125,124
10328;FBtr0086971,2200,140,125,124
10329;FBtr0305083,2200,140,125,124
1033;FBtr0079197,2200,162,160,123
10330;FBtr0340124,2200,140,125,124
10331;FBtr0331984,2200,440,429,448
10332;FBtr0086972,2200,418,403,416
10333;FBtr0086973,2200,107,86,112
10334;FBtr0086974,2200,37,36,34
10335;FBtr0340125,2200,69,67,64
10336;FBtr0086975,2200,463,449,416
10337;FBtr0300276,2200,17,19,21
10338;FBtr0300277,2200,17,19,21
10339;FBtr0474094,2200,105,94,99
1034;FBtr0079199,2200,22,31,23
10340;FBtr0086979,2200,121,100,96
10341;FBtr0273336,2200,11,13,10
10342;FBtr0333550,2200,47,45,53
10343;FBtr0273337,2200,89,75,90
10344;FBtr0086981,2200,83,59,75
10345;FBtr0086982,2200,83,59,75
10346;FBtr0345516,2200,67,38,40
10347;FBtr0086983,2200,47,45,33
10348;FBtr0340127,2200,0,1,0
10349;FBtr0086984,2200,0,2,1
1035;FBtr0304908,2200,27,20,30
10350;FBti0064244-RA,2200,8,7,4
10351;FBtr0110768,2200,4,2,1
10352;FBtr0086985,2200,56,61,39
10353;FBtr0345517,2200,56,61,39
10354;FBtr0340134,2200,346,304,288
10355;FBtr0345518,2200,346,304,288
10356;FBtr0086986,2200,335,298,284
10357;FBtr0086987,2200,273,224,209
10358;FBtr0345519,2200,273,224,209
10359;FBtr0340128,2200,301,244,250
1036;FBtr0079200,2200,1129,1019,1088
10360;FBtr0086988,2200,5,10,11
10361;FBtr0091605,2200,2,9,14
10362;FBti0064254-RA,2200,4,8,13
10363;FBtr0346643,2200,0,0,0
10364;FBtr0086989,2200,0,0,0
10365;FBtr0340129,2200,1,0,0
10366;FBtr0345671,2200,0,0,0
10367;FBtr0086990,2200,0,0,1
10368;FBtr0306290,2200,0,0,0
10369;FBtr0310346,2200,21,24,33
1037;FBtr0079201,2200,0,0,2
10370;FBti0018969-RA,2200,9,10,12
10371;FBtr0479886,2200,1,3,2
10372;FBtr0479885,2200,1,3,2
10373;FBtr0347117,2200,16,16,20
10374;FBtr0086991,2200,82,85,106
10375;FBtr0086992,2200,82,85,106
10376;FBtr0306601,2200,82,85,106
10377;FBtr0306603,2200,82,85,106
10378;FBtr0306604,2200,82,85,106
10379;FBtr0306606,2200,82,85,106
1038;FBtr0079202,2200,0,0,0
10380;FBtr0336940,2200,82,85,106
10381;FBtr0336941,2200,82,85,106
10382;FBtr0336942,2200,82,85,106
10383;FBtr0086994,2200,82,85,106
10384;FBtr0310058,2200,82,85,106
10385;FBtr0310059,2200,82,85,106
10386;FBti0018991-RA,2200,1638,1715,1557
10387;FBtr0086908,2200,0,0,0
10388;FBtr0086909,2200,68,68,61
10389;FBtr0086910,2200,89,91,76
1039;FBtr0079203,2200,0,0,0
10390;FBtr0086911,2200,140,132,122
10391;FBtr0086912,2200,76,65,76
10392;FBtr0086913,2200,76,65,76
10393;FBtr0086914,2200,76,65,76
10394;FBtr0086915,2200,24,20,18
10395;FBtr0345803,2200,41,34,36
10396;FBtr0086916,2200,47,33,38
10397;FBtr0329993,2200,47,33,38
10398;FBtr0086917,2200,131,120,146
10399;FBtr0086918,2200,17,15,18
104;FBtr0078056,2200,1047,902,897
1040;FBtr0079204,2200,0,0,0
10400;FBti0064269-RA,2200,8,1,4
10401;FBti0064271-RA,2200,2,5,2
10402;FBtr0086919,2200,1,2,0
10403;FBtr0086920,2200,59,43,45
10404;FBtr0086921,2200,233,177,199
10405;FBtr0345418,2200,233,177,199
10406;FBtr0345417,2200,178,148,167
10407;FBtr0086922,2200,39,25,27
10408;FBti0064285-RA,2200,422,392,411
10409;FBtr0086923,2200,53,42,52
1041;FBtr0112617,2200,24,27,13
10410;FBtr0306248,2200,53,42,52
10411;FBtr0331464,2200,53,42,52
10412;FBtr0086925,2200,51,41,51
10413;FBtr0340209,2200,3,2,0
10414;FBtr0086926,2200,4,3,0
10415;FBtr0086927,2200,33,19,18
10416;FBtr0086928,2200,33,19,18
10417;FBti0018915-RA,2200,12,4,7
10418;FBtr0086929,2200,51,41,57
10419;FBtr0305703,2200,0,0,0
1042;FBtr0329979,2200,24,27,13
10420;FBtr0305704,2200,1,1,0
10421;FBtr0305701,2200,1,1,0
10422;FBtr0305702,2200,1,1,0
10423;FBtr0305705,2200,1,1,0
10424;FBtr0345622,2200,5,1,5
10425;FBtr0112386,2200,4,0,3
10426;FBtr0086933,2200,5,0,1
10427;FBtr0086934,2200,17,9,11
10428;FBtr0086935,2200,17,9,11
10429;FBtr0086937,2200,17,9,11
1043;FBtr0329980,2200,24,27,13
10430;FBtr0086938,2200,631,661,551
10431;FBtr0086939,2200,631,661,551
10432;FBtr0340216,2200,631,661,551
10433;FBtr0086940,2200,244,204,211
10434;FBtr0086941,2200,95,90,103
10435;FBtr0086942,2200,194,162,164
10436;FBtr0307337,2200,698,604,641
10437;FBtr0340218,2200,1,0,0
10438;FBtr0112387,2200,1,0,1
10439;FBtr0086945,2200,21,17,13
1044;FBtr0079242,2200,1,3,0
10440;FBtr0113090,2200,1540,1318,1441
10441;FBtr0340219,2200,1540,1318,1441
10442;FBtr0086946,2200,1558,1330,1463
10443;FBtr0340220,2200,1558,1330,1463
10444;FBtr0306905,2200,98,92,100
10445;FBtr0340221,2200,98,92,100
10446;FBtr0306906,2200,98,92,100
10447;FBtr0392907,2200,98,92,100
